2025-03-14 21:08:12,Ibarra,32\u00baC
2025-03-14 21:08:13,Quito,22\u00baC
2025-03-14 21:08:14,Cuenca,30\u00baC
2025-03-14 21:08:15,Ibarra,25\u00baC
2025-03-14 21:08:16,Cuenca,19\u00baC
2025-03-14 21:08:17,Tulcan,22\u00baC
2025-03-14 21:08:18,Quito,31\u00baC
2025-03-14 21:08:19,Ibarra,31\u00baC
2025-03-14 21:08:20,Ibarra,19\u00baC
2025-03-14 21:08:21,Tulcan,21\u00baC
2025-03-14 21:08:12,Ibarra,32\u00baC
2025-03-14 21:08:13,Quito,22\u00baC
2025-03-14 21:08:14,Cuenca,30\u00baC
2025-03-14 21:08:15,Ibarra,25\u00baC
2025-03-14 21:08:16,Cuenca,19\u00baC
2025-03-14 21:08:17,Tulcan,22\u00baC
2025-03-14 21:08:18,Quito,31\u00baC
2025-03-14 21:08:19,Ibarra,31\u00baC
2025-03-14 21:08:20,Ibarra,19\u00baC
2025-03-14 21:08:21,Tulcan,21\u00baC
2025-03-14 21:08:12,Ibarra,32\u00baC
2025-03-14 21:08:13,Quito,22\u00baC
2025-03-14 21:08:14,Cuenca,30\u00baC
2025-03-14 21:08:15,Ibarra,25\u00baC
2025-03-14 21:08:16,Cuenca,19\u00baC
2025-03-14 21:08:17,Tulcan,22\u00baC
2025-03-14 21:08:18,Quito,31\u00baC
2025-03-14 21:08:19,Ibarra,31\u00baC
2025-03-14 21:08:20,Ibarra,19\u00baC
2025-03-14 21:08:21,Tulcan,21\u00baC
2025-03-14 21:19:05,Quito,27\u00baC
2025-03-14 21:19:06,Esmeraldas,21\u00baC
2025-03-14 21:19:07,Cuenca,19\u00baC
2025-03-14 21:19:08,Cuenca,32\u00baC
2025-03-14 21:19:09,Tulcan,27\u00baC
2025-03-14 21:19:10,Esmeraldas,25\u00baC
2025-03-14 21:19:11,Ibarra,19\u00baC
2025-03-14 21:19:12,Tulcan,29\u00baC
2025-03-14 21:19:13,Quito,20\u00baC
2025-03-14 21:19:14,Tulcan,21\u00baC
